Time, Unfiltered, Filtered 
0,0,0
0.01,1.73839,0
0.02,3.35381,0
0.03,4.73512,0
0.04,5.79375,0
0.05,6.47214,0.0118241
0.06,6.74922,0.0118241
0.07,6.6423,0.0118241
0.08,6.20517,0.0118241
0.09,5.52268,0.0118241
0.1,4.70228,0.0118241
0.11,3.86332,0.0118241
0.12,3.12523,0.0118241
0.13,2.59568,0.0118241
0.14,2.35988,0.0118241
0.15,2.47214,0.0118241
0.16,2.9504,0.0118241
0.17,3.77439,0.0118241
0.18,4.88748,0.0118241
0.19,6.20215,0.0118241
0.2,7.60846,0.0118241
0.21,8.98474,0.0118241
0.22,10.2094,0.0118241
0.23,11.173,0.0118241
0.24,11.7884,0.0118241
0.25,12,0.0118241
0.26,11.7884,0.0118241
0.27,11.173,0.0118241
0.28,10.2094,0.0118241
0.29,8.98473,0.0118241
0.3,7.60845,0.0118241
0.31,6.20214,0.0118241
0.32,4.88747,0.0118241
0.33,3.77438,0.0118241
0.34,2.95039,0.0118241
0.35,2.47213,0.0118241
0.36,2.35988,0.0118241
0.37,2.59568,0.0118241
0.38,3.12524,0.0118241
0.39,3.86333,0.0118241
0.4,4.70229,0.0118241
0.41,5.52269,0.0118241
0.42,6.20517,0.0118241
0.43,6.6423,0.0118241
0.44,6.74922,0.0118241
0.45,6.47213,0.0118241
0.46,5.79374,0.0118241
0.47,4.73511,0.0118241
0.48,3.3538,0.0118241
0.49,1.73838,0.0118241
0.5,-9.69949e-006,0.0118241
0.51,-1.7384,0.0118241
0.52,-3.35382,0.0118241
0.53,-4.73513,0.0118241
0.54,-5.79375,0.0118241
0.55,-6.47214,0.0118241
0.56,-6.74922,0.0118241
0.57,-6.6423,0.0118241
0.58,-6.20517,0.0118241
0.59,-5.52268,0.0118241
0.6,-4.70228,0.0118241
0.61,-3.86332,0.0118241
0.62,-3.12523,0.0118241
0.63,-2.59568,0.0118241
0.64,-2.35988,0.0118241
0.65,-2.47214,0.0118241
0.66,-2.9504,0.0118241
0.67,-3.77439,0.0118241
0.68,-4.88748,0.0118241
0.69,-6.20215,0.0118241
0.7,-7.60846,0.0118241
0.71,-8.98474,0.0118241
0.72,-10.2094,0.0118241
0.73,-11.173,0.0118241
0.74,-11.7884,0.0118241
0.75,-12,0.0118241
0.76,-11.7884,0.0118241
0.77,-11.173,0.0118241
0.78,-10.2094,0.0118241
0.79,-8.98472,0.0118241
0.8,-7.60844,0.0118241
0.81,-6.20213,0.0118241
0.82,-4.88746,0.0118241
0.83,-3.77438,0.0118241
0.84,-2.95039,0.0118241
0.85,-2.47213,0.0118241
0.86,-2.35988,0.0118241
0.87,-2.59568,0.0118241
0.88,-3.12524,0.0118241
0.89,-3.86333,0.0118241
0.9,-4.70229,0.0118241
0.91,-5.52269,0.0118241
0.92,-6.20518,0.0118241
0.93,-6.64231,0.0118241
0.94,-6.74922,0.0118241
0.95,-6.47213,0.0118241
0.96,-5.79374,0.0118241
0.97,-4.73511,0.0118241
0.98,-3.35379,0.0118241
0.99,-1.73837,0.0118241
1,1.9399e-005,0.0118241
1.01,1.73841,0.0118241
1.02,3.35382,0.0118241
1.03,4.73513,0.0118241
1.04,5.79376,0.0118241
1.05,6.47214,0.0118241
1.06,6.74922,0.0118241
1.07,6.6423,0.0118241
1.08,6.20516,0.0118241
1.09,5.52267,0.0118241
1.1,4.70227,0.0118241
1.11,3.86331,0.0118241
1.12,3.12523,0.0118241
1.13,2.59568,0.0118241
1.14,2.35988,0.0118241
1.15,2.47214,0.0118241
1.16,2.95041,0.0118241
1.17,3.7744,0.0118241
1.18,4.88749,0.0118241
1.19,6.20216,0.0118241
1.2,7.60847,0.0118241
1.21,8.98475,0.0118241
1.22,10.2095,0.0118241
1.23,11.173,0.0118241
1.24,11.7884,0.0118241
1.25,12,0.0118241
1.26,11.7884,0.0118241
1.27,11.173,0.0118241
1.28,10.2094,0.0118241
1.29,8.98471,0.0118241
1.3,7.60843,0.0118241
1.31,6.20212,0.0118241
1.32,4.88746,0.0118241
1.33,3.77437,0.0118241
1.34,2.95039,0.0118241
1.35,2.47213,0.0118241
1.36,2.35988,0.0118241
1.37,2.59569,0.0118241
1.38,3.12525,0.0118241
1.39,3.86334,0.0118241
1.4,4.7023,0.0118241
1.41,5.52269,0.0118241
1.42,6.20518,0.0118241
1.43,6.64231,0.0118241
1.44,6.74922,0.0118241
1.45,6.47213,0.0118241
1.46,5.79373,0.0118241
1.47,4.7351,0.0118241
1.48,3.35378,0.0118241
1.49,1.73836,0.0118241
1.5,-2.90985e-005,0.0118241
1.51,-1.73842,0.0118241
1.52,-3.35383,0.0118241
1.53,-4.73514,0.0118241
1.54,-5.79376,0.0118241
1.55,-6.47214,0.0118241
1.56,-6.74922,0.0118241
1.57,-6.6423,0.0118241
1.58,-6.20516,0.0118241
1.59,-5.52267,0.0118241
1.6,-4.70227,0.0118241
1.61,-3.86331,0.0118241
1.62,-3.12522,0.0118241
1.63,-2.59567,0.0118241
1.64,-2.35988,0.0118241
1.65,-2.47214,0.0118241
1.66,-2.95041,0.0118241
1.67,-3.7744,0.0118241
1.68,-4.8875,0.0118241
1.69,-6.20217,0.0118241
1.7,-7.60848,0.0118241
1.71,-8.98476,0.0118241
1.72,-10.2095,0.0118241
1.73,-11.173,0.0118241
1.74,-11.7884,0.0118241
1.75,-12,0.0118241
1.76,-11.7884,0.0118241
1.77,-11.173,0.0118241
1.78,-10.2094,0.0118241
1.79,-8.98471,0.0118241
1.8,-7.60842,0.0118241
1.81,-6.20212,0.0118241
1.82,-4.88745,0.0118241
1.83,-3.77437,0.0118241
1.84,-2.95038,0.0118241
1.85,-2.47213,0.0118241
1.86,-2.35988,0.0118241
1.87,-2.59569,0.0118241
1.88,-3.12525,0.0118241
1.89,-3.86334,0.0118241
1.9,-4.7023,0.0118241
1.91,-5.5227,0.0118241
1.92,-6.20518,0.0118241
1.93,-6.64231,0.0118241
1.94,-6.74922,0.0118241
1.95,-6.47213,0.0118241
1.96,-5.79373,0.0118241
1.97,-4.73509,0.0118241
1.98,-3.35377,0.0118241
1.99,-1.73835,0.0118241
2,3.87979e-005,0.0118241
2.01,1.73843,0.0118241
2.02,3.35384,0.0118241
2.03,4.73515,0.0118241
2.04,5.79376,0.0118241
2.05,6.47215,0.0118241
2.06,6.74922,0.0118241
2.07,6.6423,0.0118241
2.08,6.20516,0.0118241
2.09,5.52266,0.0118241
2.1,4.70226,0.0118241
2.11,3.86331,0.0118241
2.12,3.12522,0.0118241
2.13,2.59567,0.0118241
2.14,2.35988,0.0118241
2.15,2.47214,0.0118241
2.16,2.95041,0.0118241
2.17,3.77441,0.0118241
2.18,4.8875,0.0118241
2.19,6.20218,0.0118241
2.2,7.60849,0.0118241
2.21,8.98477,0.0118241
2.22,10.2095,0.0118241
2.23,11.173,0.0118241
2.24,11.7885,0.0118241
