LogTest.txt,
282148,-19
284516,-22
286980,-22
289380,-7
291800,-15
294200,-19
296612,-15
299032,-15
301432,-22
303832,-22
347640,-15
350024,-19
352412,-19
354804,-15
357176,-7
359576,-19
361964,-15
364340,-15
366732,-15
369112,-11
412892,-22
415280,-19
417672,-15
420064,-15
422448,-22
424836,-15
427228,-15
429604,-19
431976,-19
434368,-19
478732,-15
481116,-15
483504,-19
485888,-15
488280,-15
490668,-15
493056,-15
495432,-15
497824,-11
500200,-15
log,
544544,-15
546932,-22
549312,-19
551700,-15
554104,-11
556480,-15
558860,-22
561248,-19
563628,-15
566000,-19
log,
613620,-15
616008,-19
618396,-22
620788,-15
623172,-22
625568,-11
627956,-15
630340,-19
632732,-15
635116,-19
log,
679436,-15
681820,-15
684212,-11
686588,-19
688964,-7
691344,-19
693736,-15
696112,-19
698496,-19
700876,-15
log,
744644,-15
747024,-19
749416,-15
751816,-15
754212,-11
756600,-22
759004,-19
761380,-19
763768,-22
766164,-15
log,
810480,-22
812864,-11
815256,-15
817644,-15
820032,-15
822412,-19
824796,-19
827180,-15
829564,-19
831944,-15
log,
879560,-15
881956,-15
884340,-22
886732,-11
889132,-19
891516,-11
893900,-19
896292,-15
898672,-15
901060,-15
log,
945372,-19
947756,-19
950144,-15
952532,-19
954920,-15
957308,-15
959696,-19
962080,-15
964456,-22
966848,-15
log,
1011152,-19
1013576,-19
1016008,-19
1018432,-19
1020860,-22
1023296,-15
1025724,-15
1028156,-15
1030576,-15
1033004,-15
log,
1082980,-19
1085424,-19
1087852,-19
1090272,-19
1092720,-19
1095148,-19
1097584,-15
1100008,-19
1102424,-19
1104856,-15
log,
1158124,-19
1160552,-19
1162980,-19
1165412,-15
1167844,-15
1170272,-19
1172696,-19
1175128,-11
1177560,-11
1179988,-11
log,
1229948,-15
1232376,-19
1234796,-11
1237228,-15
1239656,-19
1242100,-15
1244528,-19
1246948,-15
1249380,-15
1251792,-19
log,
1301756,-15
1304188,-15
1306632,-22
1309060,-19
1311500,-11
1313932,-15
1316356,-15
1318776,-15
1321200,-19
1323620,-15
log,
1373572,-15
1376012,-15
1378444,-15
1380864,-19
1383296,-15
1385728,-15
1388156,-15
1390596,-15
1393020,-22
1395440,-15
log,
1448700,-15
1451124,-19
1453560,-19
1455988,-19
1458416,-19
1460840,-22
1463276,-15
1465704,-15
1468128,-15
1470560,-19
log,
1520504,-15
1522944,-15
1525376,-15
1527816,-15
1530256,-15
1532680,-19
1535112,-15
1537536,-15
1539960,-15
1542392,-15
log,
1592348,-15
1594780,-15
1597216,-15
1599644,-22
1602076,-15
1604508,-15
1606944,-19
1609360,-19
1611796,-19
1614220,-15
log,
1664180,-15
1666608,-15
1669040,-22
1671472,-22
1673900,-15
1676340,-11
1678760,-19
1681180,-11
1683604,-19
1686020,-19
log,
1739192,-19
1741620,-15
1744064,-19
1746484,-15
1748924,-15
1751356,-11
1753780,-19
1756216,-15
1758632,-22
1761060,-19
log,
1811032,-15
1813476,-15
1815908,-15
1818336,-15
1820776,-15
1823204,-15
1825632,-11
1828056,-19
1830476,-15
1832904,-15
log,
1882788,-15
1885236,-15
1887664,-15
1890096,-11
1892528,-15
1894956,-15
1897396,-15
1899824,-19
1902244,-22
1904680,-15
log,
1954628,-15
1957068,-15
1959500,-15
1961928,-22
1964364,-15
1966780,-7
1969212,-19
1971632,-19
1974056,-15
1976480,-19
log,
2029168,-15
2031612,-19
2034052,-19
2036484,-11
2038912,-19
2041336,-19
2043756,-22
2046184,-11
2048608,-15
2051032,-19
log,
2100916,-19
2103360,-19
2105784,-15
2108208,-22
2110644,-15
2113072,-15
2115500,-19
2117936,-15
2120360,-15
2122792,-22
log,
2179460,-15
2181888,-19
2184316,-19
2186740,-19
2189160,-19
2191588,-11
2194012,-11
2196440,-22
2198868,-15
2201288,-19
log,
2258424,-19
2260852,-15
2263292,-15
2265720,-15
2268152,-19
2270576,-22
2272996,-19
2275424,-19
2277856,-15
2280280,-15
log,
2330160,-22
2332600,-19
2335028,-19
2337468,-19
2339904,-19
2342328,-15
2344756,-15
2347180,-19
2349600,-19
2352032,-15
log,
2405304,-11
2407736,-15
2410172,-19
2412612,-15
2415040,-19
2417464,-19
2419892,-15
2422312,-19
2424736,-19
2427172,-15
log,
2477088,-15
2479516,-15
2481944,-19
2484376,-15
2486816,-15
2489244,-15
2491684,-19
2494112,-15
2496548,-15
2498968,-19
log,
2548936,-15
2551368,-15
2553804,-15
2556236,-15
2558668,-19
2561108,-15
2563532,-19
2565952,-15
2568384,-15
2570800,-19
log,
2620636,-15
2623060,-19
2625500,-19
2627928,-19
2630352,-15
2632788,-15
2635212,-15
2637632,-19
2640068,-15
2642484,-15
log,
2695760,-19
2698200,-15
2700636,-15
2703064,-15
2705504,-15
2707940,-15
2710360,-15
2712792,-15
2715220,-15
2717652,-19
log,
2767600,-19
2770036,-22
2772472,-11
2774904,-11
2777336,-19
2779764,-15
2782204,-19
2784640,-15
2787056,-19
2789492,-15
log,
2839464,-19
2841908,-22
2844344,-15
2846784,-15
2849204,-19
2851632,-15
2854064,-15
2856484,-19
2858908,-19
2861344,-15
log,
2911316,-19
2913744,-15
2916172,-11
2918612,-15
2921052,-19
2923488,-19
2925916,-19
2928336,-19
2930768,-19
2933192,-15
log,
2986472,-15
2988900,-15
2991332,-19
2993760,-15
2996200,-19
2998632,-15
3001056,-15
3003488,-19
3005912,-15
3008336,-15
log,
3058296,-19
3060744,-22
3063172,-19
3065600,-19
3068036,-19
3070460,-15
3072892,-15
3075324,-15
3077748,-15
3080180,-15
log,
3130144,-19
3132584,-15
3135008,-15
3137444,-15
3139884,-19
3142312,-15
3144756,-15
3147176,-15
3149588,-7
3152016,-15
log,
3201416,-15
3203852,-15
3206272,-19
3208696,-19
3211132,-22
3213564,-15
3215996,-22
3218428,-19
3220864,-15
3223288,-15
log,
3276488,-19
3278924,-15
3281348,-19
3283764,-19
3286208,-15
3288640,-11
3291072,-15
3293492,-19
3295912,-15
3298348,-15
log,
3348316,-15
3350756,-15
3353180,-19
3355616,-15
3358056,-15
3360484,-15
3362916,-19
3365332,-15
3367752,-19
3370180,-22
log,
3420188,-15
3422616,-19
3425048,-15
3427488,-11
3429912,-19
3432344,-15
3434788,-11
3437216,-15
3439652,-11
3442072,-19
log,
3492060,-15
3494500,-15
3496936,-22
3499376,-22
3501800,-19
3504236,-19
3506664,-15
3509084,-19
3511512,-15
3513936,-19
log,
3567232,-15
3569656,-3
3572088,-22
3574508,-38
3576948,-45
3579372,15
3581796,-15
3584224,-15
3586648,-15
3589080,-11
log,
3637948,-26
3640388,-19
3642796,3
3645220,-3
3647652,-19
3650076,-15
3652516,-11
3654944,-19
3657368,-15
3659788,-7
log,
3707532,-11
3709972,-19
3712404,-19
3714840,-11
3717264,-7
3719676,-7
3722104,-15
3724532,-15
3726956,-11
3729392,-11
log,
3778256,-15
3780692,-15
3783116,-15
3785544,-15
3787976,-15
3790404,-15
3792840,-19
3795264,-19
3797688,-15
3800120,-19
log,
3853408,-15
3855832,-7
3858264,-15
3860696,-15
3863124,-22
3865556,-19
3867984,-19
3870412,-15
3872844,-26
3875260,-19
log,
3924692,-26
3927128,-30
3929564,-30
3931984,-30
3934420,-26
3936852,-30
3939284,-22
3941708,-26
3944136,-22
3946564,-26
log,
3996540,-11
3998984,-11
4001412,-15
4003836,-7
4006276,-11
4008696,-7
4011112,-7
4013540,-11
4015964,-15
4018396,-11
log,
4066700,-42
4069128,-38
4071556,-26
4073980,-30
4076408,-34
4078836,-34
4081260,-34
4083696,-26
4086120,-19
