myTest.txt			freq	dt		
			336.4494309	0.003165591		
243036	-229		4.114616765	0.243036		-2.29
246944	-153		255.8853634	0.003908		-1.53
249816	-153		348.189415	0.002872		-1.53
252692	-153		347.705146	0.002876		-1.53
255568	-153		347.705146	0.002876		-1.53
258444	-229		347.705146	0.002876		-2.29
261328	-191		346.740638	0.002884		-1.91
264208	-191		347.2222222	0.00288		-1.91
267068	-153		349.6503497	0.00286		-1.53
269936	-191		348.6750349	0.002868		-1.91
272800	-191		349.1620112	0.002864		-1.91
275664	-191		349.1620112	0.002864		-1.91
278536	-191		348.189415	0.002872		-1.91
281396	-153		349.6503497	0.00286		-1.53
284272	-191		347.705146	0.002876		-1.91
287136	-191		349.1620112	0.002864		-1.91
290000	-153		349.1620112	0.002864		-1.53
294684	-191		213.4927412	0.004684		-1.91
297548	-191		349.1620112	0.002864		-1.91
300416	-153		348.6750349	0.002868		-1.53
303288	-153		348.189415	0.002872		-1.53
306156	-191		348.6750349	0.002868		-1.91
309024	-153		348.6750349	0.002868		-1.53
311888	-229		349.1620112	0.002864		-2.29
314756	-191		348.6750349	0.002868		-1.91
317628	-153		348.189415	0.002872		-1.53
320496	-153		348.6750349	0.002868		-1.53
323360	-229		349.1620112	0.002864		-2.29
326224	-229		349.1620112	0.002864		-2.29
329092	-191		348.6750349	0.002868		-1.91
331956	-191		349.1620112	0.002864		-1.91
334824	-153		348.6750349	0.002868		-1.53
337688	-191		349.1620112	0.002864		-1.91
340552	-191		349.1620112	0.002864		-1.91
343416	-191		349.1620112	0.002864		-1.91
346276	-268		349.6503497	0.00286		-2.68
349144	-153		348.6750349	0.002868		-1.53
352008	-191		349.1620112	0.002864		-1.91
354872	-153		349.1620112	0.002864		-1.53
357740	-153		348.6750349	0.002868		-1.53
360608	-191		348.6750349	0.002868		-1.91
363472	-191		349.1620112	0.002864		-1.91
366344	-191		348.189415	0.002872		-1.91
369212	-191		348.6750349	0.002868		-1.91
372076	-153		349.1620112	0.002864		-1.53
374940	-153		349.1620112	0.002864		-1.53
377808	-191		348.6750349	0.002868		-1.91
380672	-229		349.1620112	0.002864		-2.29
383544	-191		348.189415	0.002872		-1.91
386412	-191		348.6750349	0.002868		-1.91
389276	-153		349.1620112	0.002864		-1.53
392144	-229		348.6750349	0.002868		-2.29
395008	-191		349.1620112	0.002864		-1.91
397880	-229		348.189415	0.002872		-2.29
402560	-191		213.6752137	0.00468		-1.91
405428	-191		348.6750349	0.002868		-1.91
408296	-229		348.6750349	0.002868		-2.29
411168	-191		348.189415	0.002872		-1.91
414036	-191		348.6750349	0.002868		-1.91
416900	-191		349.1620112	0.002864		-1.91
419768	-191		348.6750349	0.002868		-1.91
422632	-191		349.1620112	0.002864		-1.91
425496	-191		349.1620112	0.002864		-1.91
428368	-153		348.189415	0.002872		-1.53
431232	-191		349.1620112	0.002864		-1.91
434104	-191		348.189415	0.002872		-1.91
436968	-153		349.1620112	0.002864		-1.53
439832	-114		349.1620112	0.002864		-1.14
